read_3	Term
C10..	Diabetes mellitus
C1010	Type 1 diabetes mellitus with ketoacidosis
C1011	Type 2 diabetes mellitus with ketoacidosis
C1030	Type 1 diabetes mellitus with ketoacidotic coma
C1031	Type II diabetes mellitus with ketoacidotic coma
C1080	Type I diabetes mellitus with renal complications
C1081	Type I diabetes mellitus with ophthalmic complications
C1082	Type I diabetes mellitus with neurological complications
C1083	Type I diabetes mellitus with multiple complications
C1085	Type I diabetes mellitus with ulcer
C1086	Type I diabetes mellitus with gangrene
C1087	Type I diabetes mellitus with retinopathy
C1088	Type I diabetes mellitus - poor control
C1089	Type I diabetes mellitus maturity onset
C1090	Type II diabetes mellitus with renal complications
C1091	Type II diabetes mellitus with ophthalmic complications
C1092	Type II diabetes mellitus with neurological complications
C1093	Type II diabetes mellitus with multiple complications
C1094	Type II diabetes mellitus with ulcer
C1095	Type II diabetes mellitus with gangrene
C1096	Type II diabetes mellitus with retinopathy
C1097	Type II diabetes mellitus - poor control
X40J4	Type I diabetes mellitus
X40J5	Type II diabetes mellitus
X40J6	Insulin treated Type 2 diabetes mellitus
X40JY	Insulin-dependent diabetes mellitus secretory diarrhoea syndrome
XM1Xk	Unstable diabetes
Xa4g7	Unstable type I diabetes mellitus
XaELP	Type I diabetes mellitus without complication
XaELQ	Type II diabetes mellitus without complication
XaEnn	Type I diabetes mellitus with mononeuropathy
XaEno	Type I diabetes mellitus with polyneuropathy
XaEnp	Type II diabetes mellitus with mononeuropathy
XaEnq	Type II diabetes mellitus with polyneuropathy
XaF04	Type I diabetes mellitus with nephropathy
XaF05	Type II diabetes mellitus with nephropathy
XaFWG	Type I diabetes mellitus with hypoglycaemic coma
XaFWI	Type II diabetes mellitus with hypoglycaemic coma
XaFm8	Type I diabetes mellitus with diabetic cataract
XaFmA	Type II diabetes mellitus with diabetic cataract
XaFmK	Type I diabetes mellitus with peripheral angiopathy
XaFmL	Type I diabetes mellitus with arthropathy
XaFmM	Type I diabetes mellitus with neuropathic arthropathy
XaFn7	Type II diabetes mellitus with peripheral angiopathy
XaFn8	Type II diabetes mellitus with arthropathy
XaFn9	Type II diabetes mellitus with neuropathic arthropathy
XaIrf	Hyperosmolar non-ketotic state in type II diabetes mellitus
XaIzM	Type 1 diabetes mellitus with persistent proteinuria
XaIzN	Type 1 diabetes mellitus with persistent microalbuminuria
XaIzQ	Type II diabetes mellitus with persistent proteinuria
XaIzR	Type II diabetes mellitus with persistent microalbuminuria
XaJQp	Type II diabetes mellitus with exudative maculopathy
XaJSr	Type 1 diabetes mellitus with exudative maculopathy
XaKyW	Type 1 diabetes mellitus with gastroparesis
XaKyX	Type II diabetes mellitus with gastroparesis
XaOPu	Latent autoimmune diabetes mellitus in adult
Xaagd	Diabetes mellitus in remission
Xaage	Type I diabetes mellitus in remission
Xaagf	Type II diabetes mellitus in remission
